"id","category","subcategory","question","answer","keywords","difficulty","source","source_url","medical_safety_level"
28,"Blood Composition","percentage","What percentage of blood is cellular?","The cellular portion accounts for roughly 45% of total blood volume, with red blood cells constituting over 99% of these formed elements, and white cells and platelets occupying less than 1% (the buffy coat).","cellular percentage,formed elements,buffy coat","intermediate","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
29,"Blood Composition","is","What is the buffy coat in centrifuged blood?","When whole blood is centrifuged, the buffy coat is the thin grayish-white intermediate layer positioned between the lower dense red cell pack and the upper liquid plasma. It contains leukocytes and platelets.","buffy coat,centrifugation,leukocytes,platelets","intermediate","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
30,"Blood Composition","proteins","What proteins are present in blood plasma?","The major plasma proteins synthesized mainly by the liver are serum albumin (maintains oncotic pressure), globulins (alpha, beta, and gamma immunoglobulins for immunity and transport), and fibrinogen (clotting factor).","plasma proteins,albumin,globulin,fibrinogen","intermediate","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
31,"Blood Composition","is","What is blood serum and how does it differ from plasma?","Serum is the liquid part of blood that remains after coagulation has occurred. It contains all plasma proteins and electrolytes except fibrinogen and clotting factors, which have been consumed in the blood clot.","serum vs plasma,coagulation,fibrinogen","intermediate","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
32,"Blood Composition","electrolytes","What electrolytes are dissolved in human plasma?","Key plasma electrolytes include sodium ($Na^+$), potassium ($K^+$), calcium ($Ca^{2+}$), magnesium ($Mg^{2+}$), chloride ($Cl^-$), bicarbonate ($HCO_3^-$), and phosphate ($HPO_4^{2-}$), critical for nerve impulse conduction and osmotic tone.","electrolytes,sodium,potassium,calcium,osmotic pressure","intermediate","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
33,"Blood Composition","are","How are the cellular components of blood separated after donation?","Donated whole blood is placed in high-speed refrigerated centrifuges. Due to varying densities, red blood cells settle to the bottom, the buffy coat forms in the center, and plasma stays on top, allowing component separation.","component separation,centrifuge,fractionation","beginner","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
34,"Blood Composition","is","Why is component therapy better than transfusing whole blood?","Component therapy enables targeted treatment: a single whole blood unit can be separated to supply RBCs for anemic patients, platelets for cancer chemotherapy, and plasma for burn or trauma coagulopathy, helping multiple patients.","component therapy,fractionation,transfusion efficiency","beginner","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
35,"Blood Composition","blood","Can blood components be stored together?","No. Each component requires distinct storage conditions: red blood cells need refrigeration at 1°C to 6°C, platelets need continuous room temperature agitation at 20°C to 24°C, and plasma is frozen at -18°C or below.","component storage,temperatures,cold chain","intermediate","American Red Cross Blood Services","https://www.redcrossblood.org/","educational"
36,"Red Blood Cells","are","What are red blood cells?","Red blood cells (erythrocytes) are biconcave disc-shaped cells specialized for transporting respiratory gases, carrying oxygen from the lungs to peripheral tissues and returning carbon dioxide.","red blood cells,erythrocytes,oxygen carriers","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
37,"Red Blood Cells","do","Why do red blood cells have a biconcave shape?","The biconcave disc shape maximizes surface-area-to-volume ratio for rapid gas diffusion and provides flexibility to deform smoothly through tiny capillary vessels narrower than the cells themselves.","biconcave disc,surface area,capillary transit","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
38,"Red Blood Cells","mature","Do mature human red blood cells have a nucleus?","No. Mature human erythrocytes extrude their nuclei and mitochondria during maturation in the bone marrow. This provides maximum space for hemoglobin but prevents them from dividing or repairing themselves.","erythrocyte nucleus,enucleated,mitochondria","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
39,"Red Blood Cells","is","What is the lifespan of a red blood cell?","The average lifespan of a mature circulating red blood cell is approximately 120 days. Aging, fragile erythrocytes are systematically filtered out and phagocytosed by macrophages in the spleen and liver.","RBC lifespan,120 days,spleen,erythrocyte turnover","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
40,"Red Blood Cells","many","How many red blood cells does a human have?","An average adult has about 20 to 30 trillion red blood cells in circulation at any moment, representing approximately 80% of all cells in the human body by count.","erythrocyte count,trillion cells,blood count","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
41,"Red Blood Cells","many","How many red blood cells are produced every second?","The human bone marrow generates approximately 2 to 3 million new red blood cells every second to balance continuous natural destruction of senescent cells.","erythropoiesis rate,bone marrow,RBC production per second","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
42,"Red Blood Cells","hormone","What hormone stimulates red blood cell production?","Erythropoietin (EPO), a glycoprotein hormone secreted primarily by specialized interstitial peritubular cells of the kidneys in response to tissue hypoxia, stimulates erythropoiesis in the bone marrow.","erythropoietin,EPO,kidneys,hypoxia","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
43,"Red Blood Cells","nutrients","What nutrients are required to produce healthy red blood cells?","Essential nutrients include iron (core atom of heme), vitamin B12 (cobalamin), folate (vitamin B9, essential for DNA synthesis), and protein amino acids. Deficiencies lead to specific anemias.","RBC nutrients,iron,vitamin B12,folate","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
44,"Red Blood Cells","happens","What happens to hemoglobin when red blood cells die?","Macrophages break down hemoglobin: the globin protein is hydrolyzed into amino acids; iron is salvaged and stored as ferritin or hemosiderin; and the heme porphyrin ring is converted to biliverdin and then bilirubin.","hemoglobin breakdown,iron recycling,bilirubin","advanced","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
45,"Red Blood Cells","is","What is a reticulocyte?","A reticulocyte is an immature red blood cell recently released from the bone marrow into peripheral circulation. It retains residual ribosomal RNA for 1 to 2 days before maturing into a definitive erythrocyte.","reticulocyte,immature RBC,bone marrow activity","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
46,"Red Blood Cells","does","What does an elevated reticulocyte count indicate?","An elevated reticulocyte count (reticulocytosis) indicates accelerated erythropoiesis, commonly observed as the marrow compensates for acute hemorrhage, hemolysis, or effective treatment of iron/B12 deficiency.","reticulocytosis,erythropoiesis,hemolysis compensation","advanced","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
47,"Red Blood Cells","is","What is the medical term for low red blood cell count?","Anemia is the clinical condition characterized by a subnormal quantity of erythrocytes, low hemoglobin concentration, or reduced hematocrit, diminishing oxygen transport to tissues.","anemia,low RBC,hemoglobin deficiency","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
48,"Red Blood Cells","is","What is the medical term for high red blood cell count?","Polycythemia (or erythrocytosis) is an abnormally high concentration of red blood cells, which increases blood viscosity and raises risks of thrombosis and cardiovascular strain.","polycythemia,erythrocytosis,blood viscosity","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
49,"Red Blood Cells","are","How are red blood cells stored for transfusion?","Packed red blood cells are preserved in anticoagulant/preservative solutions (such as CPDA-1 or SAGM) and refrigerated at strictly regulated temperatures between 1°C and 6°C for up to 35 to 42 days.","RBC storage,refrigeration,SAGM,shelf life","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
50,"Red Blood Cells","is","What is the shelf life of refrigerated packed red blood cells?","Depending on the additive solution used, packed red blood cells have an approved clinical shelf life of 35 days (with CPDA-1) to 42 days (with additive solutions like AS-1, AS-3, or SAGM).","RBC shelf life,35 days,42 days,CPDA-1","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
51,"White Blood Cells","are","What are white blood cells?","White blood cells (leukocytes) are nucleated cellular components of blood and the immune system responsible for defending the body against infectious microorganisms, foreign antigens, and neoplastic cells.","white blood cells,leukocytes,immune system","beginner","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
52,"White Blood Cells","are","What are the five main types of white blood cells?","The five types are categorized into granulocytes (neutrophils, eosinophils, and basophils) and agranulocytes (lymphocytes and monocytes), each performing specialized defense roles.","leukocyte types,neutrophils,lymphocytes,monocytes,granulocytes","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
53,"White Blood Cells","is","What is the function of neutrophils?","Neutrophils are the most abundant white blood cells (50% to 70%), functioning as rapid first responders that migrate to sites of acute bacterial infection to engulf and kill pathogens through phagocytosis.","neutrophils,phagocytosis,acute infection,first responders","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
54,"White Blood Cells","do","What do lymphocytes do?","Lymphocytes (20% to 40% of leukocytes) mediate adaptive immunity: B-lymphocytes synthesize antigen-specific antibodies, T-lymphocytes destroy virus-infected cells and modulate immunity, and Natural Killer (NK) cells eliminate tumor cells.","lymphocytes,B-cells,T-cells,adaptive immunity,antibodies","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
55,"White Blood Cells","is","What is the role of monocytes in blood?","Monocytes circulate in the bloodstream for 1 to 3 days before migrating into peripheral tissues, where they differentiate into macrophages and dendritic cells to ingest cellular debris and present antigens.","monocytes,macrophages,antigen presentation","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
56,"White Blood Cells","do","What do eosinophils do?","Eosinophils (1% to 4% of leukocytes) defend against multicellular parasites (such as helminths) and release cytotoxic granules involved in modulating allergic inflammatory reactions like asthma.","eosinophils,parasites,allergies,inflammation","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
57,"White Blood Cells","is","What is the role of basophils?","Basophils are the rarest leukocytes (< 1%). They contain histamine and heparin granules that promote inflammatory vasodilation and mediate immediate hypersensitivity and allergic responses.","basophils,histamine,heparin,allergic reaction","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
58,"White Blood Cells","is","What is a normal white blood cell count?","A normal total white blood cell count for healthy adults typically ranges from 4,000 to 11,000 leukocytes per microliter ($\mu L$) of whole blood.","normal WBC count,leukocyte range,microliter","beginner","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
59,"White Blood Cells","is","What is leukocytosis?","Leukocytosis refers to an elevated white blood cell count above 11,000/$\mu L$, commonly triggered by acute bacterial infections, systemic inflammation, physical trauma, severe stress, or hematological malignancies.","leukocytosis,high WBC,infection marker","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
60,"White Blood Cells","is","What is leukopenia?","Leukopenia is an abnormally low white blood cell count (below 4,000/$\mu L$), which significantly impairs immune defenses, commonly caused by viral infections, autoimmune conditions, bone marrow suppression, or chemotherapy.","leukopenia,low WBC,immunosuppression","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
61,"White Blood Cells","are","Why are white blood cells removed from donated blood?","Leukoreduction (filtering out white blood cells from donated units) prevents non-hemolytic febrile transfusion reactions, decreases HLA alloimmunization, and reduces transmission of intracellular viruses like cytomegalovirus (CMV).","leukoreduction,febrile reaction,HLA alloimmunization,CMV","advanced","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
62,"White Blood Cells","is","What is leukoreduction in blood banking?","Leukoreduction is a filtration process that removes >99.9% of white blood cells from donated red cell or platelet units, reducing residual leukocyte counts to fewer than $1 \times 10^6$ per unit.","leukoreduction filter,blood banking,safety standard","intermediate","Centers for Disease Control and Prevention (CDC)","https://www.cdc.gov/","educational"
63,"Platelets","are","What are platelets?","Platelets (thrombocytes) are small, disk-shaped anucleate cell fragments derived from bone marrow megakaryocytes that are essential for primary hemostasis and blood clotting.","platelets,thrombocytes,clotting,cell fragments","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
64,"Platelets","do","How do platelets form blood clots?","When a blood vessel wall is damaged, platelets adhere to exposed subendothelial collagen, become activated, undergo shape change, release pro-aggregatory granules (ADP, thromboxane A2), and cross-link via fibrinogen to form a platelet plug.","platelet activation,adhesion,aggregation,platelet plug","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
65,"Platelets","is","What is a normal platelet count?","A normal circulating platelet count in a healthy adult ranges from 150,000 to 450,000 platelets per microliter ($\mu L$) of blood.","normal platelet count,reference range,microliter","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
66,"Platelets","is","What is thrombocytopenia?","Thrombocytopenia is an abnormally low platelet count (below 150,000/$\mu L$). Severe drops below 20,000 to 50,000/$\mu L$ markedly heighten the danger of spontaneous petechiae, bruising, mucosal bleeding, and intracranial hemorrhage.","thrombocytopenia,low platelets,bleeding risk","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
67,"Platelets","is","What is thrombocytosis?","Thrombocytosis is an elevated platelet count exceeding 450,000/$\mu L$, which may be reactive (secondary to infection, inflammation, or iron deficiency) or clonal (essential thrombocythemia), increasing risk of abnormal thrombosis.","thrombocytosis,high platelets,thrombosis risk","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
68,"Platelets","is","What is the lifespan of a platelet in the human body?","Platelets circulate in the bloodstream for approximately 7 to 10 days before they are cleared and dismantled by macrophages in the spleen and liver.","platelet lifespan,7 to 10 days,spleen clearance","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
69,"Platelets","do","Why do platelets have a very short storage shelf life?","Platelets must be stored at room temperature (20°C to 24°C) with continuous gentle agitation to preserve viability; because room temperature encourages bacterial proliferation, platelet units have a strict shelf life of only 5 to 7 days.","platelet shelf life,5 days,room temperature,bacterial risk","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
70,"Platelets","must","Why must platelets be agitated during storage?","Continuous gentle agitation on mechanical platelet agitators prevents platelet activation, prevents irreversible clumping, and facilitates oxygen and gas exchange through the permeable storage bag.","platelet agitator,storage shaking,gas exchange","intermediate","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
71,"Platelets","needs","Who needs platelet transfusions?","Platelet transfusions are vital for cancer patients undergoing chemotherapy, bone marrow transplant recipients, leukemia patients, severe trauma victims with massive hemorrhage, and patients undergoing open-heart surgery.","platelet transfusion indications,cancer,leukemia,trauma","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
72,"Platelets","you","Can you donate just platelets?","Yes. Platelet donation via apheresis uses an automated cell separator machine that collects platelets and returns red blood cells and most plasma to the donor. A single apheresis donor can yield 1 to 3 adult therapeutic doses.","platelet donation,apheresis,plateletpheresis","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
73,"Platelets","often","How often can someone donate platelets?","Because the body replenishes circulating platelets within 48 to 72 hours, eligible donors can donate platelets every 7 to 14 days, up to a maximum of 24 times in a rolling 12-month period in many jurisdictions.","platelet donation frequency,interval,every 7 days","beginner","AABB (Association for the Advancement of Blood & Biotherapies)","https://www.aabb.org/","educational"
74,"Plasma","is","What is blood plasma?","Plasma is the straw-colored liquid matrix of whole blood that makes up 55% of blood volume, carrying suspended blood cells, proteins, clotting factors, hormones, glucose, electrolytes, and metabolic wastes.","plasma,liquid portion,straw-colored,matrix","beginner","World Health Organization (WHO)","https://www.who.int/","educational"
75,"Plasma","is","What is the composition of plasma?","Plasma is approximately 91% to 92% water, 7% to 8% essential functional proteins (albumin, globulins, fibrinogen), and 1% to 2% dissolved solutes including electrolytes, nutrients, hormones, and waste products.","plasma composition,water percentage,solutes","intermediate","World Health Organization (WHO)","https://www.who.int/","educational"
76,"Plasma","is","What is Fresh Frozen Plasma (FFP)?","Fresh Frozen Plasma (FFP) is plasma separated from whole blood and frozen at -18°C or colder within 8 hours of collection to preserve all labile and stable clotting factors, including Factor V and Factor VIII.","fresh frozen plasma,FFP,coagulation factors,-18C","intermediate","World Health Organization (WHO)","https://www.who.int/","educational"
77,"Plasma","is","What is the shelf life of Fresh Frozen Plasma?","When maintained continuously at -18°C or colder, Fresh Frozen Plasma has an approved clinical shelf life of up to 12 months (or up to 36 months at -25°C or colder under European standards).","FFP shelf life,12 months,-18C,freezer storage","beginner","World Health Organization (WHO)","https://www.who.int/","educational"
78,"Plasma","clinical","What clinical conditions require plasma transfusions?","Plasma transfusions treat severe coagulopathy in massive trauma, reversal of anticoagulant medications in emergency bleeding, complex liver disease, thrombotic thrombocytopenic purpura (TTP), and congenital clotting factor deficiencies.","plasma transfusion indications,coagulopathy,liver disease,TTP","intermediate","World Health Organization (WHO)","https://www.who.int/","educational"
79,"Plasma","are","What are plasma-derived medicinal products (PDMPs)?","PDMPs are life-saving pharmaceuticals manufactured through large-scale industrial fractionation of pooled human donor plasma, producing intravenous immunoglobulin (IVIG), albumin, Factor VIII, and hyperimmune globulins.","plasma fractionation,PDMP,IVIG,albumin concentrate","advanced","World Health Organization (WHO)","https://www.who.int/","educational"
80,"Plasma","is","What is intravenous immunoglobulin (IVIG)?","IVIG is a concentrated solution of polyclonal IgG antibodies extracted from thousands of healthy plasma donations used to treat primary immunodeficiencies, Guillain-Barré syndrome, ITP, and Kawasaki disease.","IVIG,immunoglobulins,antibodies,autoimmune","intermediate","World Health Organization (WHO)","https://www.who.int/","educational"
81,"Plasma","is","What is albumin used for in medicine?","Human serum albumin solutions are infused to restore intravascular oncotic pressure and circulatory volume in burn shock, acute hypovolemia, severe hypoalbuminemia, and following large-volume paracentesis in liver cirrhosis.","albumin uses,burns,hypovolemia,oncotic pressure","intermediate","World Health Organization (WHO)","https://www.who.int/","educational"
82,"Plasma","is","How is plasma donated through plasmapheresis?","During plasmapheresis, whole blood is drawn into an apheresis device which separates plasma into a collection container while infusing saline and returning red blood cells and platelets to the donor.","plasmapheresis,plasma donation process,apheresis","beginner","World Health Organization (WHO)","https://www.who.int/","educational"
83,"Plasma","quickly","How quickly does the body replace donated plasma?","The body typically restores the fluid volume of donated plasma within 24 to 48 hours when the donor consumes adequate fluids, and replaced plasma proteins within a few days.","plasma replenishment,24 to 48 hours,hydration","beginner","World Health Organization (WHO)","https://www.who.int/","educational"
84,"Hemoglobin","is","What is hemoglobin?","Hemoglobin is a tetrameric quaternary protein found inside red blood cells composed of four globin polypeptide subunits, each containing a central heme prosthetic group with an iron atom capable of binding an oxygen molecule.","hemoglobin,iron,oxygen transport,protein","beginner","World Health Organization (WHO) Guidelines","https://www.who.int/publications/i/item/9789240026605","educational"
85,"Hemoglobin","is","What is the normal hemoglobin level for adults?","According to WHO standards, normal adult hemoglobin ranges are generally 13.0 to 17.5 grams per deciliter ($g/dL$) for adult men and 12.0 to 15.5 $g/dL$ for non-pregnant adult women.","normal hemoglobin levels,WHO standards,g/dL","beginner","World Health Organization (WHO) Guidelines","https://www.who.int/publications/i/item/9789240026605","educational"
